Player_Name,college,Games_Played,Year,Team,Field_Goal_Percentage,Free_Throw_Percentage,Total_Assists,Total_Points,id
"Normie Glick","Loyola Marymount University",1,1950,MNL,1,NULL,0,2,79
"Paul Gordon","University of Notre Dame",4,1950,BLB,0,0.6,3,3,80
"Joe Graboski",NULL,57,1950,CHS,0.3,0.6,37,203,81
"Bud Grant","University of Minnesota",35,1950,MNL,0.37,0.41,19,91,82
"Don Grate","Ohio State University",2,1950,SHE,0.17,1,3,4,83
"Alex Groza","University of Kentucky",64,1950,INO,0.48,0.73,162,1496,84
"Al Guokas","Saint Joseph's University",57,1950,TOT,0.31,0.56,95,214,85
"Al Guokas","Saint Joseph's University",41,1950,DNN,0.32,0.53,85,197,86
"Al Guokas","Saint Joseph's University",16,1950,PHW,0.25,1,10,17,87
"Robert Hahn","North Carolina State University",10,1950,CHS,0.31,0.29,1,10,88
"Chick Halbert","West Texas A&M University",68,1950,WSC,0.38,0.64,89,328,89
"Bruce Hale","Santa Clara University",64,1950,INO,0.35,0.78,226,657,90
"Dale Hamilton","Franklin College",14,1950,WAT,0.24,0.47,17,25,91
"Alex Hannum*","University of Southern California",64,1950,SYR,0.36,0.69,129,482,92
"John Hargis","University of Texas at Austin",60,1950,AND,0.41,0.71,102,643,93
"Bob Harris","Oklahoma State University",62,1950,FTW,0.36,0.63,129,476,94
"Bob Harrison","Oklahoma State University",66,1950,MNL,0.36,0.68,131,300,95
"Billy Hassett","University of Notre Dame",60,1950,TOT,0.28,0.65,137,272,96
"Billy Hassett","University of Notre Dame",18,1950,TRI,0.29,0.73,68,161,97
"Billy Hassett","University of Notre Dame",42,1950,MNL,0.26,0.52,69,111,98
"Marshall Hawkins","University of Tennessee",39,1950,INO,0.28,0.69,51,152,99
"Bill Henry","Rice University",63,1950,TOT,0.32,0.67,48,296,100
"Bill Henry","Rice University",44,1950,FTW,0.31,0.67,39,214,101
"Bill Henry","Rice University",19,1950,TRI,0.35,0.67,9,82,102
"Bill Herman","Mount Union College",13,1950,DNN,0.39,0.55,15,56,103
"Kleggie Hermsen","University of Minnesota",67,1950,CHS,0.32,0.62,98,545,104
"Sonny Hertzberg","City College of New York",68,1950,BOS,0.32,0.75,200,693,105
"Paul Hoffman","Purdue University",60,1950,BLB,0.34,0.67,161,866,106
"Joe Holland","University of Kentucky",64,1950,INO,0.32,0.69,130,388,107
"Red Holzman*","City College of New York",68,1950,ROC,0.33,0.69,200,556,108
"Gene James","Marshall University",29,1950,NYK,0.3,0.45,20,52,109
"Howie Janotta","Seton Hall University",9,1950,BLB,0.3,0.81,4,31,110
"Tony Jaros","University of Minnesota",61,1950,MNL,0.29,0.75,60,240,111
"Buddy Jeannette*","Washington & Jefferson College",37,1950,BLB,0.28,0.82,93,193,112
"Arnie Johnson","Bemidji State University",68,1950,ROC,0.4,0.68,141,498,113
"Ralph Johnson","Huntington University",67,1950,TOT,0.31,0.81,171,590,114
"Ralph Johnson","Huntington University",35,1950,AND,0.31,0.86,104,337,115
"Ralph Johnson","Huntington University",32,1950,FTW,0.31,0.72,67,253,116
"Wah Wah",NULL,60,1950,INO,0.37,0.75,194,751,117
"Noble Jorgensen","University of Iowa",54,1950,SHE,0.35,0.77,90,704,118
"George Kaftan","College of the Holy Cross",55,1950,BOS,0.37,0.65,145,534,119
"Leo Katkaveck","North Carolina State University",54,1950,WSC,0.31,0.61,68,236,120
"Jack Kerris","Loyola University of Chicago",68,1950,TOT,0.33,0.65,118,483,121
"Jack Kerris","Loyola University of Chicago",4,1950,TRI,0.31,0.83,8,26,122
"Jack Kerris","Loyola University of Chicago",64,1950,FTW,0.33,0.64,110,457,123
"Bob Kinney","Rice University",60,1950,BOS,0.38,0.63,100,667,124
"Walt Kirk","University of Illinois at Urbana-Champaign",58,1950,TOT,0.27,0.72,103,349,125
"Walt Kirk","University of Illinois at Urbana-Champaign",26,1950,AND,0.25,0.69,43,119,126
"Walt Kirk","University of Illinois at Urbana-Champaign",32,1950,TRI,0.28,0.74,60,230,127
"Leo Klier","University of Notre Dame",66,1950,FTW,0.3,0.74,121,455,128
"Duane Klueh","Indiana State University",52,1950,TOT,0.38,0.71,91,475,129
"Duane Klueh","Indiana State University",33,1950,DNN,0.36,0.73,63,331,130
"Duane Klueh","Indiana State University",19,1950,FTW,0.44,0.67,28,144,131
"Lee Knorek","University of Detroit Mercy",1,1950,BLB,0,NULL,0,0,132
"Milo Komenich","University of Wyoming",64,1950,AND,0.28,0.58,124,634,133
"Leo Kubiak","Bowling Green State University",62,1950,WAT,0.33,0.81,201,710,134
"Frank Kudelka","Saint Mary's College of California",65,1950,CHS,0.33,0.64,132,433,135
"Walt Lautenbach","University of Wisconsin",55,1950,SHE,0.3,0.69,73,238,136
"Tony Lavelli","Yale University",56,1950,BOS,0.37,0.85,40,492,137
"Ed Leede","Dartmouth College",64,1950,BOS,0.34,0.71,130,571,138
"Andrew Levane","St. John's University",60,1950,SYR,0.33,0.64,156,332,139
"Freddie Lewis","Eastern Kentucky University",34,1950,TOT,0.25,0.78,25,117,140
"Freddie Lewis","Eastern Kentucky University",18,1950,BLB,0.23,0.68,18,63,141
"Freddie Lewis","Eastern Kentucky University",16,1950,PHW,0.28,0.92,7,54,142
"Ron Livingstone","University of Wyoming",54,1950,TOT,0.28,0.69,141,448,143
"Ron Livingstone","University of Wyoming",16,1950,BLB,0.25,0.76,24,85,144
"Ron Livingstone","University of Wyoming",38,1950,PHW,0.29,0.66,117,363,145
"John Logan","Indiana University",62,1950,STB,0.33,0.78,240,755,146
"Ray Lumpp","New York University",58,1950,NYK,0.32,0.8,90,268,147
"Ed Macauley*","Saint Louis University",67,1950,STB,0.4,0.72,200,1081,148
"Johnny Macknowski","Seton Hall University",59,1950,SYR,0.33,0.74,65,439,149
"John Mahnken","Georgetown University",62,1950,TOT,0.27,0.67,108,341,150
"John Mahnken","Georgetown University",2,1950,FTW,0.38,0.33,2,7,151
"John Mahnken","Georgetown University",36,1950,TRI,0.27,0.7,64,223,152
