Player_Name,college,Games_Played,Year,Team,Field_Goal_Percentage,Free_Throw_Percentage,Total_Assists,Total_Points,id
"Jeff Wilkins","Illinois State University",81,1983,UTA,0.48,0.78,132,934,7195
"Buck Williams","University of Maryland",82,1983,NJN,0.59,0.62,125,1396,7196
"Freeman Williams","Portland State University",18,1983,UTA,0.36,0.72,10,92,7197
"Gus Williams","University of Southern California",80,1983,SEA,0.48,0.75,643,1600,7198
"Herb Williams","Ohio State University",78,1983,IND,0.5,0.71,262,1315,7199
"Ray Williams","University of Minnesota",72,1983,KCK,0.39,0.77,569,1109,7200
"Rickey Williams","California State University, Long Beach",44,1983,UTA,0.42,0.66,37,147,7201
"Rob Williams","West Virginia University",74,1983,DEN,0.41,0.75,361,515,7202
"Sam Williams","University of Iowa",75,1983,GSW,0.53,0.72,45,627,7203
"Sly Williams","University of Rhode Island",68,1983,NYK,0.49,0.68,133,806,7204
"Bill Willoughby",NULL,62,1983,TOT,0.45,0.78,64,343,7205
"Bill Willoughby",NULL,52,1983,SAS,0.46,0.77,56,319,7206
"Bill Willoughby",NULL,10,1983,NJN,0.38,1,8,24,7207
"Brian Winters","University of South Carolina",57,1983,MIL,0.43,0.86,156,605,7208
"Al Wood","University of North Carolina",76,1983,SDC,0.46,0.77,134,825,7209
"Mike Woodson","Indiana University",81,1983,KCK,0.51,0.79,254,1473,7210
"Orlando Woolridge","University of Notre Dame",57,1983,CHI,0.58,0.64,97,939,7211
"James Worthy*","University of North Carolina",77,1983,LAL,0.58,0.62,132,1033,7212
"Jim Zoet","Kent State University",7,1983,DET,0.2,NULL,1,2,7213
"Kareem Abdul-Jabbar*","University of California, Los Angeles",80,1984,LAL,0.58,0.72,211,1717,7215
"Alvan Adams","University of Oklahoma",70,1984,PHO,0.46,0.83,219,670,7216
"Mark Aguirre","DePaul University",79,1984,DAL,0.52,0.75,358,2330,7217
"Danny Ainge","Brigham Young University",71,1984,BOS,0.46,0.82,162,384,7218
"J.J. Anderson",NULL,48,1984,UTA,0.42,0.41,22,122,7219
"Richard Anderson","University of California, Santa Barbara",78,1984,DEN,0.43,0.77,193,663,7220
"Tiny Archibald*","University of Texas at El Paso",46,1984,MIL,0.49,0.63,160,340,7221
"Ken Austin","Rice University",7,1984,DET,0.46,NULL,1,12,7222
"John Bagley","Boston College",76,1984,CLE,0.42,0.79,333,673,7223
"James Bailey","Rutgers University",73,1984,HOU,0.49,0.72,79,646,7224
"Thurl Bailey","North Carolina State University",81,1984,UTA,0.51,0.75,129,692,7225
"Greg Ballard","University of Oregon",82,1984,WSB,0.48,0.8,290,1188,7226
"Gene Banks","Duke University",80,1984,SAS,0.57,0.74,254,1049,7227
"Dave Batton","University of Notre Dame",4,1984,SAS,0.5,NULL,3,10,7228
"Kent Benson","Indiana University",82,1984,DET,0.55,0.82,130,579,7229
"Larry Bird*","Indiana State University",79,1984,BOS,0.49,0.89,520,1908,7230
"Otis Birdsong","University of Houston",69,1984,NJN,0.51,0.61,266,1365,7231
"Rolando Blackman","Kansas State University",81,1984,DAL,0.55,0.81,288,1815,7232
"Tom Boswell","University of South Carolina",38,1984,UTA,0.54,0.76,16,73,7233
"Charles Bradley","University of Wyoming",8,1984,SEA,0.43,0.71,5,11,7234
"Mike Bratz","Stanford University",82,1984,GSW,0.41,0.88,252,561,7235
"Randy Breuer","University of Minnesota",57,1984,MIL,0.38,0.7,17,168,7236
"Ron Brewer","University of Arkansas",53,1984,TOT,0.44,0.78,50,413,7237
"Ron Brewer","University of Arkansas",13,1984,GSW,0.47,0.65,6,65,7238
"Ron Brewer","University of Arkansas",40,1984,SAS,0.44,0.82,44,348,7239
"Junior Bridgeman","University of Louisville",81,1984,MIL,0.47,0.81,265,1220,7240
"Michael Brooks","La Salle University",47,1984,SDC,0.48,0.69,88,530,7241
"Fred Brown","University of Iowa",71,1984,SEA,0.51,0.9,194,602,7242
"Rickey Brown","Mississippi State University",68,1984,ATL,0.47,0.74,29,236,7243
"Wallace Bryant","University of San Francisco",29,1984,CHI,0.39,0.42,13,118,7244
"Quinn Buckner","Indiana University",79,1984,BOS,0.43,0.65,214,324,7245
"Don Buse","University of Evansville",76,1984,KCK,0.43,0.79,303,381,7246
"Kenny Carr","North Carolina State University",82,1984,POR,0.56,0.67,157,1283,7247
"M.L. Carr",NULL,60,1984,BOS,0.41,0.88,49,185,7248
"Joe Barry","Georgia Institute of Technology",80,1984,GSW,0.48,0.72,198,1639,7249
"Butch Carter","Indiana University",73,1984,IND,0.48,0.76,206,977,7250
"Howard Carter","Louisiana State University",55,1984,DEN,0.46,0.77,71,342,7251
"Bill Cartwright","University of San Francisco",77,1984,NYK,0.56,0.81,107,1310,7252
"Harvey Catchings","Hardin-Simmons University",69,1984,MIL,0.4,0.52,43,144,7253
"Tom Chambers","University of Utah",82,1984,SEA,0.5,0.8,133,1483,7254
"Maurice Cheeks","West Texas A&M University",75,1984,PHI,0.55,0.73,478,950,7255
"Carlos Clark","University of Mississippi",31,1984,BOS,0.37,0.89,17,54,7256
"Don Collins","Illinois State University",61,1984,GSW,0.48,0.73,67,440,7257
"Leroy Combs","Oklahoma State University",48,1984,IND,0.5,0.62,38,218,7258
"Lester Conner","Oregon State University",82,1984,GSW,0.49,0.72,401,907,7259
"Darwin Cook","University of Portland",82,1984,NJN,0.44,0.75,356,714,7260
"Jeff Cook","Idaho State University",81,1984,CLE,0.49,0.72,123,471,7261
"Michael Cooper","University of New Mexico",82,1984,LAL,0.5,0.84,482,739,7262
"Wayne Cooper","University of New Orleans",81,1984,POR,0.46,0.8,76,793,7263
"Dave Corzine","DePaul University",82,1984,CHI,0.47,0.84,202,1004,7264
"Charlie Criss","New Mexico State University",15,1984,TOT,0.39,0.75,38,53,7265
"Charlie Criss","New Mexico State University",6,1984,MIL,0.37,0.64,17,30,7266
"Charlie Criss","New Mexico State University",9,1984,ATL,0.41,1,21,23,7267
"Geoff Crompton","University of North Carolina",7,1984,CLE,0.13,0.5,1,5,7268
"Russell Cross","Purdue University",45,1984,GSW,0.57,0.42,22,166,7269
"Pat Cummings","University of Cincinnati",80,1984,DAL,0.49,0.74,158,1045,7270
"Terry Cummings","DePaul University",81,1984,SDC,0.49,0.72,139,1854,7271
"Earl Cureton","University of Detroit Mercy",73,1984,DET,0.46,0.53,36,193,7272
"Quintin Dailey","University of San Francisco",82,1984,CHI,0.47,0.81,254,1491,7273
"Adrian Dantley*","University of Notre Dame",79,1984,UTA,0.56,0.86,310,2418,7274
"Brad Davis","University of Maryland",81,1984,DAL,0.53,0.84,561,896,7275
"Charles Davis","Wake Forest University",46,1984,WSB,0.47,0.62,30,231,7276
"Johnny Davis","University of Dayton",75,1984,ATL,0.44,0.85,326,925,7277
"Walter Davis","Texas A&M University",78,1984,PHO,0.51,0.86,429,1557,7278
"Darryl Dawkins",NULL,81,1984,NJN,0.59,0.74,123,1357,7279
"Darren Daye","University of California, Los Angeles",75,1984,WSB,0.44,0.71,176,455,7280
"Kenny Dennard","Duke University",43,1984,DEN,0.36,0.63,45,90,7281
"James Donaldson","Washington State University",82,1984,SDC,0.6,0.76,90,969,7282
"John Drew","Gardner-Webb University",81,1984,UTA,0.48,0.78,135,1430,7283
"Larry Drew","University of Missouri",73,1984,KCK,0.46,0.78,558,1194,7284
"Clyde Drexler*","University of Houston",82,1984,POR,0.45,0.73,153,628,7285
"Mike Dunleavy","University of South Carolina",17,1984,MIL,0.55,0.8,78,191,7286
"T.R. Dunn",NULL,80,1984,DEN,0.47,0.73,228,454,7287
"Mark Eaton","University of California, Los Angeles",82,1984,UTA,0.47,0.59,113,461,7288
"Jerry Eaves","University of Louisville",80,1984,UTA,0.45,0.7,200,356,7289
"Keith Edmonson","Purdue University",55,1984,TOT,0.49,0.75,34,410,7290
"Keith Edmonson","Purdue University",40,1984,SAS,0.49,0.75,27,346,7291
"Keith Edmonson","Purdue University",15,1984,DEN,0.49,0.72,7,64,7292
"Franklin Edwards","Cleveland State University",60,1984,PHI,0.38,0.71,90,202,7293
"James Edwards","University of Washington",72,1984,PHO,0.54,0.72,184,1059,7294
"Craig Ehlo","Washington State University",7,1984,HOU,0.41,1,6,23,7295
"Dale Ellis","University of Tennessee",67,1984,DAL,0.46,0.72,56,549,7296
"Len Elmore","University of Maryland",65,1984,NYK,0.41,0.71,30,155,7297
"Chris Engler","University of Wyoming",46,1984,GSW,0.4,0.61,11,80,7298
"Alex English*","University of South Carolina",82,1984,DEN,0.53,0.82,406,2167,7299
"Julius Erving*","University of Massachusetts Amherst",77,1984,PHI,0.51,0.75,309,1727,7300
"Mike Evans","Kansas State University",78,1984,DEN,0.43,0.85,288,629,7301
"Eric Fernsten","University of San Francisco",32,1984,NYK,0.56,0.74,11,83,7302
"Sleepy Floyd","Georgetown University",77,1984,GSW,0.46,0.82,269,1291,7303
"Phil Ford","University of North Carolina",81,1984,HOU,0.5,0.84,410,572,7304
"Rod Foster","University of California, Los Angeles",80,1984,PHO,0.45,0.79,172,664,7305
"World B.",NULL,75,1984,CLE,0.45,0.78,226,1669,7306
"Bill Garnett","University of Portland",80,1984,DAL,0.47,0.73,128,411,7307
"Calvin Garrett","Oral Roberts University",41,1984,LAL,0.51,0.77,31,188,7308
"John Garris","Boston College",33,1984,CLE,0.51,0.79,10,131,7309
"George Gervin*","Eastern Michigan University",76,1984,SAS,0.49,0.84,220,1967,7310
"Mike Gibson","University of South Carolina Upstate",32,1984,WSB,0.38,0.65,9,53,7311
"Artis Gilmore*","Jacksonville University",64,1984,SAS,0.63,0.72,70,982,7312
"Mike Glenn","Southern Illinois University",81,1984,ATL,0.56,0.8,171,681,7313
"Mike Gminski","Duke University",82,1984,NJN,0.51,0.8,92,621,7314
"Stewart Granger","Villanova University",56,1984,CLE,0.43,0.76,134,251,7315
"Rickey Green","University of Michigan",81,1984,UTA,0.49,0.82,748,1072,7316
"Sidney Green","Duquesne University",49,1984,CHI,0.44,0.71,25,255,7317
"Dave Greenwood","University of California, Los Angeles",78,1984,CHI,0.49,0.74,139,951,7318
"Kevin Grevey","University of Kentucky",64,1984,MIL,0.45,0.89,75,446,7319
"Darrell Griffith","University of Louisville",82,1984,UTA,0.49,0.7,283,1636,7320
"Ernie Grunfeld","University of Tennessee",76,1984,NYK,0.46,0.77,108,398,7321
"Bob Hansen","University of Iowa",55,1984,UTA,0.45,0.64,44,148,7322
"Bill Hanzlik","University of Notre Dame",80,1984,DEN,0.43,0.81,252,434,7323
"Derek Harper","University of Illinois at Urbana-Champaign",82,1984,DAL,0.44,0.67,239,469,7324
"Scott Hastings","University of Arkansas",68,1984,ATL,0.47,0.79,46,305,7325
"Steve Hawes","University of Washington",79,1984,SEA,0.48,0.78,99,290,7326
"Elvin Hayes*","University of Houston",81,1984,HOU,0.41,0.65,71,402,7327
"Steve Hayes","Idaho State University",43,1984,SEA,0.52,0.36,13,57,7328
"Gerald Henderson","Virginia Commonwealth University",78,1984,BOS,0.52,0.77,300,908,7329
"Rod Higgins","California State University, Fresno",78,1984,CHI,0.45,0.72,116,500,7330
"Johnny High","University of Nevada, Reno",29,1984,PHO,0.35,0.35,51,46,7331
"Armond Hill","Princeton University",15,1984,ATL,0.3,0.81,35,45,7332
"Roy Hinson","Rutgers University",80,1984,CLE,0.5,0.59,69,437,7333
"Craig Hodges","California State University, Long Beach",76,1984,SDC,0.45,0.75,116,592,7334
"Lionel Hollins","Arizona State University",32,1984,DET,0.38,0.85,62,59,7335
"Phil Hubbard","University of Michigan",80,1984,CLE,0.51,0.74,86,863,7336
"Geoff Huston","Texas Tech University",77,1984,CLE,0.5,0.71,413,808,7337
"Marc Iavaroni","University of Virginia",78,1984,PHI,0.46,0.74,95,395,7338
"Dan Issel*","University of Kentucky",76,1984,DEN,0.49,0.85,173,1506,7339
"Tracy Jackson","University of Notre Dame",2,1984,IND,0.25,1,0,6,7340
"Clay Johnson","Florida Agricultural and Mechanical University",25,1984,SEA,0.4,0.64,14,55,7341
"Clemon Johnson","Florida Agricultural and Mechanical University",80,1984,PHI,0.47,0.61,55,455,7342
"Dennis Johnson*","Pepperdine University",80,1984,BOS,0.44,0.85,338,1053,7343
"Eddie Johnson","Tennessee State University",67,1984,ATL,0.44,0.77,374,886,7344
"Eddie Johnson","Tennessee State University",82,1984,KCK,0.49,0.81,296,1794,7345
"Frank Johnson","Wake Forest University",82,1984,WSB,0.47,0.74,567,982,7346
"George Johnson","Stephen F. Austin State University",81,1984,IND,0.47,0.83,195,1056,7347
"Magic Johnson*","University of California, Los Angeles",67,1984,LAL,0.57,0.81,875,1178,7348
"Marques Johnson","University of California, Los Angeles",74,1984,MIL,0.5,0.71,315,1535,7349
"Mickey Johnson","Aurora University",78,1984,GSW,0.42,0.79,219,1062,7350
"Reggie Johnson","University of Tennessee",72,1984,NJN,0.5,0.73,40,346,7351
"Steve Johnson","Murray State University",81,1984,TOT,0.56,0.58,81,769,7352
"Steve Johnson","Murray State University",50,1984,KCK,0.55,0.57,63,479,7353
"Steve Johnson","Murray State University",31,1984,CHI,0.57,0.58,18,290,7354
"Vinnie Johnson","Baylor University",82,1984,DET,0.47,0.75,271,1063,7355
"Bobby Jones","University of North Carolina",75,1984,PHI,0.52,0.78,187,619,7356
"Caldwell Jones","Albany State University",81,1984,HOU,0.5,0.84,156,801,7357
"Charles Jones","Albany State University",1,1984,PHI,0,0.25,0,1,7358
"Edgar Jones","University of Nevada, Reno",81,1984,SAS,0.5,0.73,85,826,7359
"Hutch Jones","Vanderbilt University",4,1984,SDC,0,0.25,0,1,7360
"Major Jones","Albany State University",57,1984,HOU,0.54,0.61,28,170,7361
"Mark Jones","Albany State University",6,1984,NJN,0.5,0.5,5,7,7362
"Eddie Jordan","Rutgers University",16,1984,TOT,0.35,0.67,44,42,7363
"Eddie Jordan","Rutgers University",13,1984,POR,0.32,0.7,39,33,7364
"Eddie Jordan","Rutgers University",3,1984,LAL,0.5,0.5,5,9,7365
"Rich Kelley","Stanford University",75,1984,UTA,0.5,0.77,157,388,7366
"Clark Kellogg","Ohio State University",79,1984,IND,0.52,0.77,234,1506,7367
"Greg Kelser","Michigan State University",80,1984,SDC,0.52,0.7,91,878,7368
"Albert King","University of Maryland",79,1984,NJN,0.49,0.79,203,1165,7369
"Bernard King*","University of Tennessee",77,1984,NYK,0.57,0.78,164,2027,7370
"Reggie King","University of Alabama",77,1984,SEA,0.52,0.66,179,602,7371
"Greg Kite","Brigham Young University",35,1984,BOS,0.46,0.31,7,65,7372
"Billy Knight","University of Pittsburgh",75,1984,KCK,0.49,0.86,160,963,7373
"Joe Kopicki","University of Detroit Mercy",59,1984,WSB,0.49,0.81,46,220,7374
"Bruce Kuczenski","University of Connecticut",15,1984,TOT,0.27,0.67,8,28,7375
"Bruce Kuczenski","University of Connecticut",7,1984,NJN,0.33,0.5,4,11,7376
"Bruce Kuczenski","University of Connecticut",3,1984,PHI,0.13,0.5,2,3,7377
"Bruce Kuczenski","University of Connecticut",5,1984,IND,0.29,1,2,14,7378
"Mitch Kupchak","University of North Carolina",34,1984,LAL,0.38,0.65,7,104,7379
"Bill Laimbeer","University of Notre Dame",82,1984,DET,0.53,0.87,149,1422,7380
"Jeff Lamp","University of Virginia",64,1984,POR,0.49,0.9,51,318,7381
"Mark Landsberger","Arizona State University",35,1984,ATL,0.37,0.58,10,53,7382
"Bob Lanier*","St. Bonaventure University",72,1984,MIL,0.57,0.71,186,978,7383
"Allen Leavell","Oklahoma City University",82,1984,HOU,0.48,0.83,459,947,7384
"Ronnie Lester","University of Iowa",43,1984,CHI,0.42,0.86,168,232,7385
"Fat Lever","Arizona State University",81,1984,POR,0.45,0.74,372,788,7386
"Cliff Levingston","Wichita State University",80,1984,DET,0.53,0.67,109,583,7387
"Steve Lingenfelter","South Dakota State University",3,1984,SAS,1,0,1,2,7388
"Alton Lister","Arizona State University",82,1984,MIL,0.5,0.63,110,626,7389
"Lewis Lloyd","Drake University",82,1984,HOU,0.52,0.79,321,1458,7390
"Darrell Lockhart","Auburn University",2,1984,SAS,1,NULL,0,4,7391
"Kevin Loder","Alabama State University",11,1984,TOT,0.44,0.69,14,48,7392
"Kevin Loder","Alabama State University",10,1984,KCK,0.44,0.69,14,48,7393
"Kevin Loder","Alabama State University",1,1984,SDC,NULL,NULL,0,0,7394
"John Long","University of Detroit Mercy",82,1984,DET,0.47,0.88,205,1334,7395
"Sidney Lowe","North Carolina State University",78,1984,IND,0.41,0.78,269,324,7396
"John Lucas","University of Maryland",63,1984,SAS,0.46,0.76,673,689,7397
"Maurice Lucas","Marquette University",75,1984,PHO,0.5,0.77,203,1195,7398
"Rudy Macklin","Louisiana State University",8,1984,NYK,0.4,0.85,3,35,7399
"Kyle Macy","University of Kentucky",82,1984,PHO,0.5,0.83,353,832,7400
"Rick Mahorn","Hampton University",82,1984,WSB,0.51,0.65,131,739,7401
"Jeff Malone","Mississippi State University",81,1984,WSB,0.44,0.83,151,982,7402
"Moses Malone*",NULL,71,1984,PHI,0.48,0.75,96,1609,7403
"Pace Mannion","University of Utah",57,1984,GSW,0.4,0.78,47,121,7404
"Wes Matthews","University of Wisconsin",20,1984,TOT,0.47,0.75,83,150,7405
"Wes Matthews","University of Wisconsin",6,1984,ATL,0.53,0.82,21,50,7406
"Wes Matthews","University of Wisconsin",14,1984,PHI,0.45,0.64,62,100,7407
"Cedric Maxwell","University of North Carolina at Charlotte",80,1984,BOS,0.53,0.75,205,955,7408
"Bob McAdoo*","University of North Carolina",70,1984,LAL,0.47,0.8,74,916,7409
"Rodney McCray","University of Louisville",79,1984,HOU,0.5,0.73,176,853,7410
"Scooter McCray","University of Louisville",47,1984,SEA,0.39,0.7,44,129,7411
"Hank McDowell","University of Memphis",57,1984,SDC,0.43,0.68,37,208,7412
"Mike McGee","University of Michigan",77,1984,LAL,0.59,0.54,81,757,7413
"Kevin McHale*","University of Minnesota",82,1984,BOS,0.56,0.77,104,1511,7414
"Kevin McKenna","Creighton University",61,1984,IND,0.41,0.82,114,387,7415
"Billy McKinney","Northwestern University",80,1984,SDC,0.45,0.85,161,311,7416
"Tom McMillen","University of Maryland",62,1984,WSB,0.5,0.81,73,572,7417
"Mark McNamara","University of California",70,1984,SAS,0.62,0.47,31,388,7418
"Joe Meriweather","Southern Illinois University",73,1984,KCK,0.53,0.76,51,480,7419
"Larry Micheaux","University of Houston",39,1984,KCK,0.54,0.54,19,119,7420
"Bob Miller","University of Cincinnati",2,1984,SAS,0.67,NULL,1,4,7421
"Mike Mitchell","Auburn University",79,1984,SAS,0.49,0.78,93,1839,7422
"Paul Mokeski","University of Kansas",68,1984,MIL,0.48,0.69,44,255,7423
"Sidney Moncrief","University of Arkansas",79,1984,MIL,0.5,0.85,358,1654,7424
"Johnny Moore","University of Texas at Austin",59,1984,SAS,0.45,0.76,566,595,7425
"Larry Nance","Clemson University",82,1984,PHO,0.58,0.71,214,1451,7426
"Swen Nater","University of California, Los Angeles",69,1984,LAL,0.49,0.69,27,311,7427
"Calvin Natt","University of Louisiana at Monroe",79,1984,POR,0.58,0.8,179,1277,7428
"Ed Nealy","Kansas State University",71,1984,KCK,0.5,0.8,50,174,7429
"Kurt Nimphius","Arizona State University",82,1984,DAL,0.52,0.62,176,646,7430
"Norm Nixon","Duquesne University",82,1984,SDC,0.46,0.76,914,1391,7431
"Audie Norris","Jackson State University",79,1984,POR,0.5,0.7,76,352,7432
"Mike O'Koren","University of North Carolina",73,1984,NJN,0.48,0.61,95,430,7433
"Mark Olberding","University of Minnesota",81,1984,KCK,0.49,0.82,192,759,7434
"Jawann Oldham","Seattle University",64,1984,CHI,0.51,0.59,33,259,7435
"Louis Orr","Syracuse University",78,1984,NYK,0.46,0.82,61,697,7436
"Robert Parish*","Centenary College of Louisiana",80,1984,BOS,0.55,0.75,139,1520,7437
"Billy Paultz","St. John's University",40,1984,ATL,0.41,0.52,18,89,7438
"Jim Paxson","University of Dayton",81,1984,POR,0.51,0.84,251,1722,7439
"John Paxson","University of Notre Dame",49,1984,SAS,0.45,0.62,149,142,7440
"Roger Phegley","Bradley University",13,1984,TOT,0.31,1,11,28,7441
"Roger Phegley","Bradley University",3,1984,SAS,0.5,1,2,7,7442
"Roger Phegley","Bradley University",10,1984,DAL,0.29,1,9,21,7443
"Ricky Pierce","Rice University",69,1984,SDC,0.47,0.86,60,685,7444
"John Pinone","Villanova University",7,1984,ATL,0.54,0.6,3,20,7445
"Tom Piotrowski","La Salle University",18,1984,POR,0.46,1,5,30,7446
"Charles Pittman","University of Maryland",69,1984,PHO,0.6,0.68,70,321,7447
"Ben Poquette","Central Michigan University",51,1984,CLE,0.44,0.79,49,185,7448
"Paul Pressey","University of Tulsa",81,1984,MIL,0.52,0.6,252,674,7449
"Kurt Rambis","Santa Clara University",47,1984,LAL,0.56,0.64,34,168,7450
"Kelvin Ransey","Ohio State University",80,1984,NJN,0.43,0.79,483,760,7451
"Leo Rautins","Syracuse University",28,1984,PHI,0.36,0.6,29,48,7452
"Robert Reid","St. Mary's University",64,1984,HOU,0.47,0.66,217,895,7453
"Clint Richardson","Seattle University",69,1984,PHI,0.47,0.77,155,521,7454
"Micheal Ray",NULL,48,1984,NJN,0.46,0.7,214,576,7455
"Doc Rivers","Marquette University",81,1984,ATL,0.46,0.79,314,757,7456
"Anthony Roberts","Oral Roberts University",19,1984,DEN,0.37,0.72,13,81,7457
"Fred Roberts","Brigham Young University",79,1984,SAS,0.54,0.84,98,573,7458
"Rick Robey","University of Kentucky",61,1984,PHO,0.55,0.69,65,342,7459
"Cliff Robinson","University of Southern California",73,1984,CLE,0.45,0.7,185,1301,7460
"Truck Robinson","Tennessee State University",65,1984,NYK,0.49,0.65,94,701,7461
"Dave Robisch","University of Kansas",31,1984,TOT,0.37,0.85,20,92,7462
"Dave Robisch","University of Kansas",19,1984,DEN,0.33,0.85,13,37,7463
"Dave Robisch","University of Kansas",4,1984,SAS,0.5,NULL,1,8,7464
"Dave Robisch","University of Kansas",8,1984,KCK,0.38,0.85,6,47,7465
"Tree Rollins","Clemson University",77,1984,ATL,0.52,0.62,62,666,7466
"Lorenzo Romar","University of Washington",68,1984,TOT,0.46,0.71,193,393,7467
"Lorenzo Romar","University of Washington",3,1984,GSW,0.4,0.5,1,6,7468
"Lorenzo Romar","University of Washington",65,1984,MIL,0.46,0.72,192,387,7469
"Dan Roundfield","Central Michigan University",73,1984,ATL,0.49,0.77,184,1380,7470
"Jeff Ruland","Iona College",75,1984,WSB,0.58,0.73,296,1665,7471
"Walker Russell","Western Michigan University",16,1984,DET,0.33,0.92,22,41,7472
"Ralph Sampson*","University of Virginia",82,1984,HOU,0.52,0.66,163,1720,7473
"Mike Sanders","University of California, Los Angeles",50,1984,PHO,0.48,0.69,44,223,7474
"DeWayne Scales","Louisiana State University",2,1984,WSB,0.6,0,0,6,7475
"Danny Schayes","Syracuse University",82,1984,DEN,0.49,0.79,91,581,7476
"Alvin Scott","Oral Roberts University",65,1984,PHO,0.44,0.78,48,167,7477
"Byron Scott","Arizona State University",74,1984,LAL,0.48,0.81,177,788,7478
"Lonnie Shelton","Oregon State University",79,1984,CLE,0.48,0.76,179,850,7479
"Purvis Short","Jackson State University",79,1984,GSW,0.47,0.79,246,1803,7480
"Jerry Sichting","Purdue University",80,1984,IND,0.53,0.87,457,917,7481
"Jack Sikma","Illinois Wesleyan University",82,1984,SEA,0.5,0.86,327,1563,7482
"Derek Smith","University of Utah",61,1984,SDC,0.55,0.76,82,600,7483
"Larry Smith","Alcorn State University",75,1984,GSW,0.56,0.56,72,582,7484
"Ricky Sobers","University of Nevada, Las Vegas",81,1984,WSB,0.46,0.84,377,1266,7485
"Jim Spanarkel","Duke University",7,1984,DAL,0.44,0.69,5,24,7486
"Rory Sparrow","Villanova University",79,1984,NYK,0.47,0.82,539,818,7487
"Larry Spriggs","Howard University",38,1984,LAL,0.54,0.72,30,124,7488
"Brook Steppe","Georgia Institute of Technology",61,1984,IND,0.47,0.83,79,430,7489
"Steve Stipanovich","University of Missouri",81,1984,IND,0.48,0.75,170,970,7490
"Jon Sundvold","University of Missouri",73,1984,SEA,0.45,0.89,239,507,7491
"Dane Suttle","Pepperdine University",40,1984,KCK,0.51,0.85,46,258,7492
"Terry Teagle","Baylor University",68,1984,HOU,0.47,0.84,63,340,7493
"Reggie Theus","University of Nevada, Las Vegas",61,1984,TOT,0.42,0.76,352,745,7494
"Reggie Theus","University of Nevada, Las Vegas",31,1984,CHI,0.39,0.78,142,271,7495
"Reggie Theus","University of Nevada, Las Vegas",30,1984,KCK,0.44,0.75,210,474,7496
"David Thirdkill","Bradley University",46,1984,DET,0.43,0.48,27,77,7497
"Isiah Thomas*","Indiana University",82,1984,DET,0.46,0.73,914,1748,7498
"Jim Thomas","Indiana University",72,1984,IND,0.46,0.73,130,455,7499
"David Thompson*","North Carolina State University",19,1984,SEA,0.54,0.85,13,240,7500
"LaSalle Thompson","University of Texas at Austin",80,1984,KCK,0.52,0.72,86,826,7501
"Mychal Thompson","University of Minnesota",79,1984,POR,0.52,0.67,308,1240,7502
"Paul Thompson","Tulane University",82,1984,CLE,0.47,0.77,122,742,7503
"Sedale Threatt","West Virginia University Institute of Technology",45,1984,PHI,0.42,0.82,41,148,7504
"Darren Tillis","Cleveland State University",72,1984,GSW,0.43,0.65,24,257,7505
"Ray Tolbert","Indiana University",49,1984,DET,0.53,0.51,26,151,7506
"Andrew Toney","University of Louisiana at Lafayette",78,1984,PHI,0.53,0.84,373,1588,7507
"Linton Townes","James Madison University",4,1984,TOT,0.5,NULL,1,8,7508
"Linton Townes","James Madison University",2,1984,MIL,1,NULL,0,2,7509
"Linton Townes","James Madison University",2,1984,SDC,0.43,NULL,1,6,7510
"Kelly Tripucka","University of Notre Dame",76,1984,DET,0.46,0.82,228,1618,7511
"Trent Tucker","University of Minnesota",63,1984,NYK,0.5,0.76,138,481,7512
"Elston Turner","University of Mississippi",47,1984,DAL,0.36,0.82,59,137,7513
"Terry Tyler","University of Detroit Mercy",82,1984,DET,0.45,0.71,76,722,7514
"Darnell Valentine","University of Kansas",68,1984,POR,0.45,0.79,395,696,7515
"Kiki Vandeweghe","University of California, Los Angeles",78,1984,DEN,0.56,0.85,238,2295,7516
"Pete Verhoeven","California State University, Fresno",43,1984,POR,0.5,0.68,20,117,7517
"Jay Vincent","Michigan State University",61,1984,DAL,0.44,0.78,114,672,7518
"Danny Vranes","University of Utah",80,1984,SEA,0.52,0.65,132,669,7519
"Granville Waiters","Ohio State University",78,1984,IND,0.52,0.61,60,277,7520
"Darrell Walker","University of Arkansas",82,1984,NYK,0.42,0.79,284,644,7521
"Foots Walker","State University of West Georgia",34,1984,NJN,0.36,0.89,81,90,7522
"Wally Walker","University of Virginia",58,1984,HOU,0.49,0.33,55,244,7523
"Bill Walton*","University of California, Los Angeles",55,1984,SDC,0.56,0.6,183,668,7524
"Bryan Warrick","Saint Joseph's University",32,1984,WSB,0.41,0.5,43,63,7525
"Marvin Webster","Morgan State University",76,1984,NYK,0.47,0.56,53,290,7526
"Scott Wedman","University of Colorado",68,1984,BOS,0.44,0.83,67,327,7527
"Brant Weidner","College of William & Mary",8,1984,SAS,0.22,1,0,8,7528
"Mark West","Old Dominion University",34,1984,DAL,0.36,0.32,13,37,7529
"Paul Westphal","University of Southern California",59,1984,PHO,0.46,0.82,148,412,7530
"Ennis Whatley","University of Alabama",80,1984,CHI,0.47,0.73,662,668,7531
"Rory White","University of South Alabama",36,1984,TOT,0.47,0.55,15,186,7532
"Rory White","University of South Alabama",22,1984,PHO,0.48,0.57,14,162,7533
"Rory White","University of South Alabama",8,1984,MIL,0.41,0.4,1,16,7534
"Rory White","University of South Alabama",6,1984,SDC,0.44,NULL,0,8,7535
